module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
sklgp,True,,,3.0,2.0,0.2,100,1000,0,0.19570419865392785,-0.3142877016940411,0.041002511978149414,0.007000446319580078,0.04800295829772949,2.6371673339258437,2.5085052816750797,0.17024324553624295
sklgp,True,,,3.0,2.0,0.2,200,1000,0,0.19764742219641163,-0.3078561536915964,0.09300541877746582,0.014000654220581055,0.10700607299804688,2.6386188632812835,1.5537650772044584,0.21509904670453953
sklgp,True,,,3.0,2.0,0.2,400,1000,0,0.21412253010161983,-0.26863757502446156,0.44202542304992676,0.04500246047973633,0.4870278835296631,2.8629103082701497,2.26113859830895,0.23121711367878506
sklgp,True,,,3.0,2.0,0.2,800,1000,0,0.18568275675211243,-0.34138699114046356,2.989171028137207,0.10500597953796387,3.094177007675171,3.93400369830552,4.86147463512171,0.19107850670727852
sklgp,True,,,3.0,2.0,0.2,1600,1000,0,0.20624010071241974,-0.2893016061729141,11.414652824401855,0.41202354431152344,11.826676368713379,3.488625537748577,0.5511843835984301,0.20373914355150982
sklgp,True,,,3.0,2.0,0.2,3200,1000,0,0.20311121021125192,-0.29620282282901395,57.83130764961243,1.8891081809997559,59.72041583061218,2.808645262773987,1.9240342412765419,0.19190683938530492
