module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_fitc,True,10,,3.0,2.0,0.2,100,1000,0,0.20526466577131816,-0.2633293598136509,1.0135059356689453,0.19078564643859863,1.204291582107544,3.3839965172319713,2.5849058765469906,0.12763209710055598
gpflow_fitc,True,10,,3.0,2.0,0.2,200,1000,0,0.20830967836583972,-0.2784270006397109,0.8552494049072266,0.20467233657836914,1.0599217414855957,4.096952729441382,3.2616004544673127,0.23722541354313045
gpflow_fitc,True,10,,3.0,2.0,0.2,400,1000,0,0.20806395221844418,-0.2870141784898289,1.252122402191162,0.22699546813964844,1.4791178703308105,3.054219050911266,2.3784393570902833,0.17811474961744794
gpflow_fitc,True,10,,3.0,2.0,0.2,800,1000,0,0.20327523178616952,-0.2905397657710314,1.7271745204925537,0.24152755737304688,1.9687020778656006,2.357577896279871,0.7929371198262989,0.17744911795915436
gpflow_fitc,True,10,,3.0,2.0,0.2,1600,1000,0,0.1865533878650736,-0.3393814780327532,1.9615662097930908,0.2537209987640381,2.215287208557129,2.715031057932341,0.5814708383408419,0.18413281272385723
gpflow_fitc,True,10,,3.0,2.0,0.2,3200,1000,0,0.1967990200844154,-0.3121480384618306,2.316666603088379,0.2816050052642822,2.598271608352661,2.9742704121914922,1.123922352444875,0.18594202182406105
gpflow_fitc,True,10,,3.0,2.0,0.2,6400,1000,0,0.1806456652445123,-0.35228230064824756,3.468754768371582,0.287123441696167,3.755878210067749,2.439287896761472,1.2122267277672,0.19494447850027025
gpflow_fitc,True,10,,3.0,2.0,0.2,12800,1000,0,0.2021909278663058,-0.29917061594022665,2.2912628650665283,0.4389991760253906,2.730262041091919,3.087338981837844,1.2153350268843726,0.19831917138991012
gpflow_fitc,True,10,,3.0,2.0,0.2,25600,1000,0,0.20948900273159773,-0.2808382738029968,2.9286491870880127,0.32678675651550293,3.2554359436035156,5.5229053081345425,2.5493701326886304,0.19872366542677122
gpflow_fitc,True,10,,3.0,2.0,0.2,51200,1000,0,0.19922250826351495,-0.3066640176751764,4.109018325805664,0.36070728302001953,4.469725608825684,3.401990728355286,2.2130114607921447,0.19835395359342997
gpflow_fitc,True,10,,3.0,2.0,0.2,102400,1000,0,0.19852550686155512,-0.30750415842735296,13.002159595489502,0.42109203338623047,13.423251628875732,2.5468236827702495,0.467683112794557,0.1978158019046298
