module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_sgpr,True,100,,3.0,2.0,0.2,100,1000,0,0.20736330906934983,-0.2875158308332573,0.8106820583343506,0.17916488647460938,0.98984694480896,3.27188844844382,2.155445143184877,0.20049150078216632
gpflow_sgpr,True,100,,3.0,2.0,0.2,200,1000,0,0.20831062091300945,-0.2784249648077329,0.915642261505127,0.19060015678405762,1.1062424182891846,4.096887926966148,3.2611540897427647,0.2372281230383547
gpflow_sgpr,True,100,,3.0,2.0,0.2,400,1000,0,0.2071313163228795,-0.2871920638375408,1.1079392433166504,0.2872288227081299,1.3951680660247803,3.1227766704460715,2.6717042410889427,0.2058256320347003
gpflow_sgpr,True,100,,3.0,2.0,0.2,800,1000,0,0.20383069278288055,-0.29509243663236945,1.2804768085479736,0.21953630447387695,1.5000131130218506,2.4295973712573726,1.1213704993072433,0.20459379706554276
gpflow_sgpr,True,100,,3.0,2.0,0.2,1600,1000,0,0.1864424052647211,-0.339820502288665,1.5986242294311523,0.2411644458770752,1.8397886753082275,3.042883037040581,0.6302913092134359,0.18706225993114606
gpflow_sgpr,True,100,,3.0,2.0,0.2,3200,1000,0,0.19693321109480388,-0.3123925404606012,2.169964551925659,0.2655813694000244,2.4355459213256836,3.2002515072823883,1.257050652922729,0.197401187842364
gpflow_sgpr,True,100,,3.0,2.0,0.2,6400,1000,0,0.1806354751408306,-0.35284050055982846,2.978224039077759,0.28888630867004395,3.2671103477478027,2.662951152924381,1.415448122076468,0.20086891885369326
gpflow_sgpr,True,100,,3.0,2.0,0.2,12800,1000,0,0.2021927315546605,-0.29917013882547266,4.237145185470581,0.33139848709106445,4.5685436725616455,3.07217107013105,1.1624418612839111,0.19833027309358414
gpflow_sgpr,True,100,,3.0,2.0,0.2,25600,1000,0,0.2094848044017511,-0.2808478922795325,9.656035423278809,0.3955833911895752,10.051618814468384,5.519264354577584,2.5487075494871743,0.19871482707954824
gpflow_sgpr,True,100,,3.0,2.0,0.2,51200,1000,0,0.19922250968831856,-0.30666408019614155,17.89463710784912,0.5133960247039795,18.4080331325531,3.4079044884197915,2.152378089063043,0.19835595872967568
gpflow_sgpr,True,100,,3.0,2.0,0.2,102400,1000,0,0.19852133273787698,-0.3084243912579385,25.332298278808594,0.7819931507110596,26.114291429519653,3.053762373347957,0.7599793261030127,0.19939169321894631
