module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_sgpr,False,10,,3.0,2.0,0.2,100,1000,0,0.2077927902147681,-0.2865713848605575,0.6240603923797607,0.17166972160339355,0.7957301139831543,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,200,1000,0,0.2096015713912773,-0.28070456323898396,0.6117618083953857,0.1850428581237793,0.796804666519165,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,400,1000,0,0.2070358906266199,-0.28733272449703734,0.6908361911773682,0.19174408912658691,0.8825802803039551,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,800,1000,0,0.2032168084139387,-0.2966171781193543,0.872006893157959,0.2088921070098877,1.0808990001678467,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,1600,1000,0,0.1866186820679242,-0.3380500363031026,0.8547186851501465,0.2233753204345703,1.0780940055847168,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,3200,1000,0,0.19699681166588798,-0.3121561211393314,0.983881950378418,0.23407578468322754,1.2179577350616455,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,6400,1000,0,0.18068486488674534,-0.35293689335001527,1.2400989532470703,0.26124119758605957,1.5013401508331299,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,12800,1000,0,0.20216641453014206,-0.29929707726527555,1.3470540046691895,0.2715878486633301,1.6186418533325195,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,25600,1000,0,0.20947733231717694,-0.28103199590916744,1.6104326248168945,0.2984952926635742,1.9089279174804688,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,51200,1000,0,0.19927310932380635,-0.306537971213081,2.2600224018096924,0.31258177757263184,2.572604179382324,3.0,2.0,0.2
gpflow_sgpr,False,10,,3.0,2.0,0.2,102400,1000,0,0.19851341567240133,-0.30843504308943703,2.6124911308288574,0.3238685131072998,2.9363596439361572,3.0,2.0,0.2
