module,optimize,make_model_option,predict_option,n_train,n_test,t,SMSE,MSLL,time_make_model,time_predict,time_total
sklgp,True,,,100,1000,0,0.41167125952401673,0.03999715053492758,0.031199932098388672,0.0,0.031199932098388672
sklgp,True,,,200,1000,0,0.33370544096632526,-0.04757316733582948,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,400,1000,0,0.276972479406888,-0.14140090540760816,0.31200075149536133,0.015599966049194336,0.32760071754455566
sklgp,True,,,800,1000,0,0.22300876854796298,-0.2477175401125832,1.6224029064178467,0.10920023918151855,1.7316031455993652
sklgp,True,,,1600,1000,0,0.23337764715805584,-0.2270381295054982,8.112014055252075,0.4212009906768799,8.533215045928955
sklgp,True,,,3200,1000,0,0.2107169563228329,-0.2792187652188191,36.98766493797302,1.5444025993347168,38.53206753730774
sklgp,True,,,6400,1000,0,0.19917600924105547,-0.30697442668442665,226.01319694519043,8.392814874649048,234.40601181983948
sklgp,True,,,100,1000,1,0.5066143332253548,0.14452345961189714,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,200,1000,1,0.30125899391709327,-0.09369353430866108,0.062400102615356445,0.015599966049194336,0.07800006866455078
sklgp,True,,,400,1000,1,0.2621896040967408,-0.16366094995489197,0.3120005130767822,0.031199932098388672,0.3432004451751709
sklgp,True,,,800,1000,1,0.24384994123974527,-0.20675724204124035,1.6692030429840088,0.09360003471374512,1.762803077697754
sklgp,True,,,1600,1000,1,0.22858519832472174,-0.24022793693304917,7.768813610076904,0.390000581741333,8.158814191818237
sklgp,True,,,3200,1000,1,0.20055710731595042,-0.30070353537090005,39.889270067214966,1.5756027698516846,41.46487283706665
sklgp,True,,,6400,1000,1,0.21391118930462352,-0.27130362506072847,227.68239974975586,8.43961477279663,236.1220145225525
sklgp,True,,,100,1000,2,0.45159744726680334,0.10419546532997924,0.07800030708312988,0.0,0.07800030708312988
sklgp,True,,,200,1000,2,0.39109657216366045,0.0024561681512256365,0.062400102615356445,0.015599966049194336,0.07800006866455078
sklgp,True,,,400,1000,2,0.27733831070107656,-0.1537493209270487,0.3120005130767822,0.031200170516967773,0.34320068359375
sklgp,True,,,800,1000,2,0.21762100434742043,-0.26232706739812217,1.6692028045654297,0.09360027313232422,1.762803077697754
sklgp,True,,,1600,1000,2,0.2127769098041522,-0.27499044362994807,7.784413576126099,0.3900008201599121,8.17441439628601
sklgp,True,,,3200,1000,2,0.2241054123214272,-0.24773539239710624,37.54926609992981,1.5444025993347168,39.093668699264526
sklgp,True,,,6400,1000,2,0.2096552441159411,-0.2803249334438238,214.71877717971802,8.43961501121521,223.15839219093323
sklgp,True,,,100,1000,3,0.4348870126442598,0.08567526712222352,0.07800030708312988,0.0,0.07800030708312988
sklgp,True,,,200,1000,3,0.3442603271602003,-0.04000795832717503,0.07800006866455078,0.015600204467773438,0.09360027313232422
sklgp,True,,,400,1000,3,0.27856453600565306,-0.13940904454254954,0.32760047912597656,0.031200170516967773,0.35880064964294434
sklgp,True,,,800,1000,3,0.23693926030723234,-0.22148547344008107,1.5600028038024902,0.09360003471374512,1.6536028385162354
sklgp,True,,,1600,1000,3,0.23167477732388495,-0.23154513544603889,8.78281545639038,0.390000581741333,9.172816038131714
sklgp,True,,,3200,1000,3,0.2203878210952306,-0.2559216978226758,37.564865827560425,1.6068029403686523,39.17166876792908
sklgp,True,,,6400,1000,3,0.2043128303636683,-0.2939351805146559,227.760400056839,8.330414772033691,236.09081482887268
sklgp,True,,,100,1000,4,0.40855895027269035,0.04494312607650494,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,200,1000,4,0.3537734871382875,-0.023564136275847147,0.062400102615356445,0.015599966049194336,0.07800006866455078
sklgp,True,,,400,1000,4,0.2883005935880449,-0.1255652843513404,0.3120005130767822,0.031199932098388672,0.3432004451751709
sklgp,True,,,800,1000,4,0.2484596442936654,-0.20102647731897655,1.6536030769348145,0.09360003471374512,1.7472031116485596
sklgp,True,,,1600,1000,4,0.21566055236560294,-0.26906043696449977,7.800013780593872,0.3900008201599121,8.190014600753784
sklgp,True,,,3200,1000,4,0.21189614967530393,-0.2746091242505954,42.47887444496155,1.5756027698516846,44.05447721481323
sklgp,True,,,6400,1000,4,0.20977064981775342,-0.28115208608936737,227.6355996131897,8.43961501121521,236.0752146244049
sklgp,True,,,100,1000,5,0.4514900095293574,0.07989548089761249,0.062400102615356445,0.015600204467773438,0.07800030708312988
sklgp,True,,,200,1000,5,0.28773201170793855,-0.11924030897971977,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,400,1000,5,0.2618872555933195,-0.17587665648625966,0.32760071754455566,0.031199932098388672,0.35880064964294434
sklgp,True,,,800,1000,5,0.24856082004122976,-0.19896429624184458,1.7004032135009766,0.09360003471374512,1.7940032482147217
sklgp,True,,,1600,1000,5,0.2077661968361605,-0.2834326520732433,7.784413576126099,0.3900008201599121,8.17441439628601
sklgp,True,,,3200,1000,5,0.21871072089162963,-0.25921217982369193,40.06087017059326,1.5288026332855225,41.589672803878784
sklgp,True,,,6400,1000,5,0.19697675542148602,-0.3118036716128561,214.50037670135498,8.377214670181274,222.87759137153625
sklgp,True,,,100,1000,6,0.4345553510298761,0.07678152900127627,0.04680013656616211,0.015599966049194336,0.062400102615356445
sklgp,True,,,200,1000,6,0.3310168360597217,-0.05517713978785093,0.06240034103393555,0.015599966049194336,0.07800030708312988
sklgp,True,,,400,1000,6,0.27489627604316436,-0.14365266855377185,0.35880041122436523,0.031200170516967773,0.390000581741333
sklgp,True,,,800,1000,6,0.23073383000657435,-0.2313005633660093,1.6536028385162354,0.10920023918151855,1.762803077697754
sklgp,True,,,1600,1000,6,0.21858073253505433,-0.2596914336245155,7.7376134395599365,0.40560078620910645,8.143214225769043
sklgp,True,,,3200,1000,6,0.21642987956413567,-0.2644663000404682,40.02967023849487,1.6068029403686523,41.636473178863525
sklgp,True,,,6400,1000,6,0.20343266192667062,-0.29697695431025634,215.8887791633606,8.346014499664307,224.2347936630249
sklgp,True,,,100,1000,7,0.41807237677503306,0.06085714851122433,0.062400102615356445,0.015599966049194336,0.07800006866455078
sklgp,True,,,200,1000,7,0.3493912171902931,-0.025677108983875097,0.09360027313232422,0.015599966049194336,0.10920023918151855
sklgp,True,,,400,1000,7,0.27237888260054033,-0.15593847089803295,0.32760047912597656,0.031200170516967773,0.35880064964294434
sklgp,True,,,800,1000,7,0.23473943526784616,-0.22265750822195174,1.544402837753296,0.09360003471374512,1.638002872467041
sklgp,True,,,1600,1000,7,0.2293682627818664,-0.23539022915414742,7.75321364402771,0.390000581741333,8.143214225769043
sklgp,True,,,3200,1000,7,0.21282643744190874,-0.27314995708297085,37.59606599807739,1.591202735900879,39.18726873397827
sklgp,True,,,6400,1000,7,0.20111526741611044,-0.3020746587893159,227.58879971504211,8.299214601516724,235.88801431655884
sklgp,True,,,100,1000,8,0.3743764224748347,0.025321050390073922,0.062400102615356445,0.015599966049194336,0.07800006866455078
sklgp,True,,,200,1000,8,0.3318020998009528,-0.04803612446889119,0.04680013656616211,0.015599966049194336,0.062400102615356445
sklgp,True,,,400,1000,8,0.2788481332272108,-0.14690083920282274,0.28080034255981445,0.031200170516967773,0.3120005130767822
sklgp,True,,,800,1000,8,0.2258096915414574,-0.24038612920493288,1.6536028385162354,0.10920023918151855,1.762803077697754
sklgp,True,,,1600,1000,8,0.21618995122464918,-0.26638438392644986,8.252414464950562,0.3900008201599121,8.642415285110474
sklgp,True,,,3200,1000,8,0.2039792761736415,-0.2939717502775663,37.564865827560425,1.5756027698516846,39.14046859741211
sklgp,True,,,6400,1000,8,0.21114987566167814,-0.27838251727870467,227.63559985160828,8.299214601516724,235.934814453125
sklgp,True,,,100,1000,9,0.42580068827064677,0.04417120344396186,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,200,1000,9,0.3281507480047418,-0.0627459935488017,0.062400102615356445,0.0,0.062400102615356445
sklgp,True,,,400,1000,9,0.2766446330456852,-0.14920745901437754,0.3120005130767822,0.031200170516967773,0.34320068359375
sklgp,True,,,800,1000,9,0.23829906087552394,-0.2193705006239536,1.6536028385162354,0.10920023918151855,1.762803077697754
sklgp,True,,,1600,1000,9,0.23771245580295716,-0.21927369590655632,7.737613677978516,0.4368007183074951,8.17441439628601
sklgp,True,,,3200,1000,9,0.2140960625417137,-0.26937008875397606,40.04527044296265,1.591202735900879,41.636473178863525
sklgp,True,,,6400,1000,9,0.2084342820085673,-0.2845037821643565,202.5663559436798,8.43961477279663,211.00597071647644
