module,optimize,make_model_option,predict_option,n_train,n_test,t,SMSE,MSLL,time_make_model,time_predict,time_total
gpflow_basic,True,,,100,1000,0,0.41167124545491174,0.03999713758935654,0.40560054779052734,0.09360027313232422,0.49920082092285156
gpflow_basic,True,,,200,1000,0,0.333705442294487,-0.047573167297522596,0.49920082092285156,0.12480020523071289,0.6240010261535645
gpflow_basic,True,,,400,1000,0,0.27697251404645296,-0.14140096138900027,0.7956013679504395,0.14040040969848633,0.9360017776489258
gpflow_basic,True,,,800,1000,0,0.223008771041628,-0.24771757261561345,2.230803966522217,0.20280027389526367,2.4336042404174805
gpflow_basic,True,,,1600,1000,0,0.2333775532780181,-0.2270356505145869,13.104023218154907,0.49920082092285156,13.603224039077759
gpflow_basic,True,,,3200,1000,0,0.21071691167476195,-0.2792188755081416,86.470951795578,1.8564033508300781,88.32735514640808
gpflow_basic,True,,,6400,1000,0,0.199176008911068,-0.3069744274820482,720.3936653137207,9.422416687011719,729.8160820007324
gpflow_basic,True,,,100,1000,1,0.5066144896900112,0.14452324542601086,1.0140016078948975,0.171600341796875,1.1856019496917725
gpflow_basic,True,,,200,1000,1,0.30125900556098395,-0.09369351382956818,1.0608017444610596,0.20280027389526367,1.2636020183563232
gpflow_basic,True,,,400,1000,1,0.26218966320356746,-0.1636613110741726,1.4508023262023926,0.2184004783630371,1.6692028045654297
gpflow_basic,True,,,800,1000,1,0.24384995618629426,-0.20675719084685593,3.22920560836792,0.2964005470275879,3.525606155395508
gpflow_basic,True,,,1600,1000,1,0.22858519800049606,-0.24022793890582586,13.68122410774231,0.5772011280059814,14.258425235748291
gpflow_basic,True,,,3200,1000,1,0.20055711043417476,-0.30070344009715744,86.87655258178711,1.934403419494629,88.81095600128174
gpflow_basic,True,,,6400,1000,1,0.21391119660713107,-0.2713036106336492,723.7788710594177,9.594017028808594,733.3728880882263
gpflow_basic,True,,,100,1000,2,0.45159745124577716,0.10419547210098443,1.591202735900879,0.2184004783630371,1.809603214263916
gpflow_basic,True,,,200,1000,2,0.39109663714823023,0.0024562609401273796,1.6848030090332031,0.2652003765106201,1.9500033855438232
gpflow_basic,True,,,400,1000,2,0.2773379220707958,-0.15375004747278023,1.981203317642212,0.2964005470275879,2.2776038646698
gpflow_basic,True,,,800,1000,2,0.21762100274673563,-0.26232707349755385,3.6504063606262207,0.37440061569213867,4.024806976318359
gpflow_basic,True,,,1600,1000,2,0.21277689450944304,-0.27499047211644756,14.539225339889526,0.6708014011383057,15.210026741027832
gpflow_basic,True,,,3200,1000,2,0.2241053930888767,-0.24773529516650084,87.96855449676514,2.028003454208374,89.99655795097351
gpflow_basic,True,,,6400,1000,2,0.20965525229632676,-0.28032491745620397,675.7463867664337,9.562816858291626,685.3092036247253
gpflow_basic,True,,,100,1000,3,0.43488696199625443,0.08567520377519974,2.3556039333343506,0.2964005470275879,2.6520044803619385
gpflow_basic,True,,,200,1000,3,0.34426031023235587,-0.04000791129057029,2.2932040691375732,0.34320068359375,2.6364047527313232
gpflow_basic,True,,,400,1000,3,0.2785645390347423,-0.13940902904652813,2.6988048553466797,0.37440037727355957,3.0732052326202393
gpflow_basic,True,,,800,1000,3,0.23693924911326567,-0.22148548634416795,4.368007659912109,0.45240068435668945,4.820408344268799
gpflow_basic,True,,,1600,1000,3,0.2316747037046275,-0.23154520965926026,15.334826707839966,0.8736016750335693,16.208428382873535
gpflow_basic,True,,,3200,1000,3,0.22038781795797674,-0.25592170372745443,87.98415446281433,2.0904037952423096,90.07455825805664
gpflow_basic,True,,,6400,1000,3,0.2043128409905342,-0.2939351464937396,668.351973772049,9.516016960144043,677.867990732193
gpflow_basic,True,,,100,1000,4,0.40855916181025703,0.04494344411894354,3.2136056423187256,0.4212007522583008,3.6348063945770264
