module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_svgp,True,100,,3.0,2.0,0.2,100,1000,0,0.20896553728100736,-0.2837710079690747,5.2471137046813965,0.15771985054016113,5.404833555221558,2.035131804025655,1.2605048365826381,0.19940287349561578
gpflow_svgp,True,100,,3.0,2.0,0.2,200,1000,0,0.20809913017306655,-0.27783257379711007,5.5815582275390625,0.17925596237182617,5.760814189910889,3.028244883726778,1.8250308284450447,0.23984704384146618
gpflow_svgp,True,100,,3.0,2.0,0.2,400,1000,0,0.2108484787990639,-0.2784376228651792,5.7621307373046875,0.19835162162780762,5.960482358932495,0.9997814345304543,1.3942741868035742,0.20355463634875323
gpflow_svgp,True,100,,3.0,2.0,0.2,800,1000,0,0.20554446680438881,-0.2908872915895891,6.140734434127808,0.21397995948791504,6.354714393615723,1.5186183212277342,0.9224792133307348,0.20470923495444104
gpflow_svgp,True,100,,3.0,2.0,0.2,1600,1000,0,0.18663114660645858,-0.33927846420948443,6.180819034576416,0.23102927207946777,6.411848306655884,1.3554510998210125,0.7229782554528926,0.1878549405212865
gpflow_svgp,True,100,,3.0,2.0,0.2,3200,1000,0,0.1967427218779614,-0.31283354567880145,6.630395174026489,0.2555978298187256,6.885993003845215,1.5015787057385601,0.9183068617679941,0.1980196819317242
gpflow_svgp,True,100,,3.0,2.0,0.2,6400,1000,0,0.18192744606226194,-0.34969270600769375,7.068443536758423,0.2987844944000244,7.367228031158447,1.0887968218409927,0.857058286825365,0.20038308291686696
gpflow_svgp,True,100,,3.0,2.0,0.2,12800,1000,0,0.20319600429825768,-0.2965773044023672,7.277478456497192,0.3117713928222656,7.589249849319458,1.665825908810544,0.9014622243612423,0.1972852194922235
gpflow_svgp,True,100,,3.0,2.0,0.2,25600,1000,0,0.2093087310877548,-0.28149686678718056,7.745025157928467,0.33977437019348145,8.084799528121948,0.8836935724738392,1.660295584375734,0.2003220405087548
gpflow_svgp,True,100,,3.0,2.0,0.2,51200,1000,0,0.19966421233413678,-0.3055628179546222,8.511139631271362,0.39242124557495117,8.903560876846313,1.9464761320846549,1.3909214647345787,0.1995261471390596
gpflow_svgp,True,100,,3.0,2.0,0.2,102400,1000,0,0.19892352312531847,-0.30741211442686167,8.301705837249756,0.3770148754119873,8.678720712661743,1.466102941274322,0.6541737405249604,0.19976889431394826
