module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_exact,True,,,3.0,2.0,0.2,100,1000,0,0.20736329649329038,-0.2875158662160367,0.5254466533660889,0.13271045684814453,0.6581571102142334,3.2718881643419646,2.1554451390053977,0.2004913355599789
gpflow_exact,True,,,3.0,2.0,0.2,200,1000,0,0.20831063652250503,-0.2784249749067086,0.5973222255706787,0.15131640434265137,0.7486386299133301,4.096885157510609,3.261151318864399,0.23722803942549892
gpflow_exact,True,,,3.0,2.0,0.2,400,1000,0,0.2071312787747571,-0.2871921613649475,1.1588242053985596,0.17743754386901855,1.3362617492675781,3.122773033313205,2.6716956740148574,0.20582543811836237
gpflow_exact,True,,,3.0,2.0,0.2,800,1000,0,0.20383079325274628,-0.29509220130678376,3.2572739124298096,0.24536705017089844,3.502640962600708,2.4295835010806925,1.1213979234673113,0.2045933712299235
gpflow_exact,True,,,3.0,2.0,0.2,1600,1000,0,0.18644244440609362,-0.3398203959135881,19.899827003479004,0.5015466213226318,20.401373624801636,3.042859855630568,0.6302732733895295,0.18706215711096855
gpflow_exact,True,,,3.0,2.0,0.2,3200,1000,0,0.19693322189725362,-0.3123925285778122,145.932053565979,1.7267391681671143,147.65879273414612,3.200237810398926,1.2570375758445835,0.19740108894278627
gpflow_exact,True,,,3.0,2.0,0.2,6400,1000,0,0.1806353732634161,-0.3528408165048449,1345.836296081543,8.65772819519043,1354.4940242767334,2.6628938309535184,1.41536566956777,0.20086879615876446
