module,optimize,n,make_model,predict,total
gpflow_sgpr,True,100,0.6926171779632568,0.1486034393310547,0.8412206172943115
gpflow_sgpr,True,200,0.7830228805541992,0.1784069538116455,0.9614298343658447
gpflow_sgpr,True,400,0.9958369731903076,0.18301057815551758,1.1788475513458252
gpflow_sgpr,True,800,1.2350704669952393,0.2040116786956787,1.439082145690918
gpflow_sgpr,True,1600,1.308074951171875,0.21601223945617676,1.5240871906280518
gpflow_sgpr,True,3200,1.5102629661560059,0.2102060317993164,1.7204689979553223
