module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpml_exact,False,,,3.0,2.0,0.2,100,1000,0,0.20779279475141804,-0.2865713884731683,1.1682510375976562e-05,0.06481432914733887,0.06482601165771484,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,200,1000,0,0.209601535545655,-0.2807046472320159,1.1205673217773438e-05,0.03273963928222656,0.032750844955444336,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,400,1000,0,0.20703558312087803,-0.287333448008795,1.1920928955078125e-05,0.05608820915222168,0.05610013008117676,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,800,1000,0,0.20321724094259794,-0.2966161069352029,1.0728836059570312e-05,0.14001154899597168,0.14002227783203125,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,1600,1000,0,0.18661896326263225,-0.3380494443707204,1.049041748046875e-05,0.5252659320831299,0.5252764225006104,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,3200,1000,0,0.19699679292246078,-0.3121561802838302,1.1920928955078125e-05,2.558725357055664,2.558737277984619,3.0,2.0,0.2
gpml_exact,False,,,3.0,2.0,0.2,6400,1000,0,0.18068436394835077,-0.35293832728238644,1.2159347534179688e-05,14.233671426773071,14.233683586120605,3.0,2.0,0.2
