module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpy_sgpr,True,10,,3.0,2.0,0.2,100,1000,0,0.20736483911415984,-0.28751281500618747,0.11628532409667969,0.0024912357330322266,0.11877655982971191,3.272725640080237,2.1561281097498486,0.2004899824621166
gpy_sgpr,True,10,,3.0,2.0,0.2,200,1000,0,0.20831056938691822,-0.2784252569816917,0.09891700744628906,0.0005931854248046875,0.09951019287109375,4.0968595317688115,3.2615196776151105,0.23722745146421692
gpy_sgpr,True,10,,3.0,2.0,0.2,400,1000,0,0.20713164535810832,-0.28719119446977265,0.2630336284637451,0.0005972385406494141,0.26363086700439453,3.1227023173039643,2.670382438410762,0.20582907672313078
gpy_sgpr,True,10,,3.0,2.0,0.2,800,1000,0,0.2038293854290235,-0.29509608026287915,0.5601861476898193,0.0006000995635986328,0.560786247253418,2.4309064987509776,1.1231509714247268,0.20458102145814344
gpy_sgpr,True,10,,3.0,2.0,0.2,1600,1000,0,0.18644143212894124,-0.33982248972626816,0.6221990585327148,0.0006086826324462891,0.6228077411651611,3.0403130237257896,0.6254730864918052,0.18706795518360514
gpy_sgpr,True,10,,3.0,2.0,0.2,3200,1000,0,0.19693320012004192,-0.31239253038612463,4.911022186279297,0.0006198883056640625,4.911642074584961,3.20047824478767,1.2579604400036426,0.19740507221138143
gpy_sgpr,True,10,,3.0,2.0,0.2,6400,1000,0,0.18063560554304017,-0.3528403355042699,19.86501932144165,0.0006196498870849609,19.865638971328735,2.6635450238352494,1.4167519197792082,0.20086836291660615
gpy_sgpr,True,10,,3.0,2.0,0.2,12800,1000,0,0.20219256931992846,-0.2991706434092523,79.47833013534546,0.0006251335144042969,79.47895526885986,3.074009414498323,1.1637981952789422,0.19833074590319616
