n,y_predict_mean,y_predict_std
100,1.0823571886399033,0.33115364034454214
100,0.3131843368818011,0.3345461241102417
100,0.3567376757633423,0.3359632706587144
100,-0.6842060524663087,0.3291799761801957
100,-0.07106383172838004,0.3315769405874907
100,-0.9563873730447856,0.3287606096912488
100,0.6594957014333787,0.3341501795982966
100,0.6820984160676584,0.33507111416778107
100,0.28841369665124206,0.33996942092124177
100,-0.28071110444044756,0.34309020184174904
100,-0.5819834630643212,0.3290180741360316
100,-1.0768307377343316,0.3287397892230203
100,-0.8402159279353825,0.3288199593962089
100,-0.027953505248575206,0.3396909622654661
100,0.1460464386877075,0.34142408181589406
100,0.5943483714829618,0.34811536567830537
100,-0.30659945570502956,0.3511139221173099
100,-1.0611068486057702,0.32871742045315017
100,-0.7270155932642055,0.3288182416351479
100,0.6884579780230107,0.3339847641110875
100,0.14333414263832733,0.3414359923441898
100,0.5358088337516409,0.33587847648228025
100,0.062028215452975655,0.33272458111683056
100,1.0831492746077211,0.333063348867828
100,0.48003150830008146,0.33676068318530167
100,-0.015517899285207915,0.34003648959069616
100,0.612539682163733,0.33463953179687556
100,-0.11507673779316807,0.3310469770568551
100,0.8400585489661845,0.3315521042921438
100,0.25760732511980766,0.3327997664816785
100,0.8290780718138588,0.3345757323976707
100,-0.5333640279034446,0.32897181168836
100,-0.1460680112708983,0.33508116265324983
100,1.0668396694404643,0.33084597787429254
100,0.6801570163536574,0.3350417107898834
100,0.6393184514901673,0.3344241473890755
100,1.089082807285049,0.332372052988438
100,0.8426773985766016,0.33152706523695846
100,0.9626845130158994,0.3373871032543717
100,0.26921867092583085,0.33009525022845354
100,0.5233218050847772,0.3360938777753537
100,1.090147709315466,0.33170114697922126
100,0.923069020978085,0.3376039409384524
100,1.2815892725727949,0.34127720509716286
100,0.04348208301655342,0.34114348156721863
100,-1.0508569216413228,0.32871302015086723
100,0.9774661112858176,0.33685479729105167
100,0.4228802713723372,0.3378254436113475
100,-0.9782627257307155,0.32874528755420934
