module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_sgpr,False,100,,3.0,2.0,0.2,100,1000,0,0.2077928052139015,-0.2865713658834642,0.5913009643554688,0.17641162872314453,0.7677125930786133,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,200,1000,0,0.20960155542025324,-0.2807045989386119,0.5883324146270752,0.18585753440856934,0.7741899490356445,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,400,1000,0,0.20703560546235383,-0.2873333930738953,0.7158615589141846,0.20208978652954102,0.9179513454437256,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,800,1000,0,0.20321719734341798,-0.29661621373192726,0.9329557418823242,0.21305060386657715,1.1460063457489014,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,1600,1000,0,0.18661894443606536,-0.33804948077699987,0.9410202503204346,0.23043537139892578,1.1714556217193604,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,3200,1000,0,0.19699679194621464,-0.31215617605466767,1.0601611137390137,0.24750447273254395,1.3076655864715576,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,6400,1000,0,0.18068439290975027,-0.352938230639933,1.4640488624572754,0.26677966117858887,1.7308285236358643,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,12800,1000,0,0.20216638066609824,-0.2992971410107845,1.5069222450256348,0.30296945571899414,1.809891700744629,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,25600,1000,0,0.20947684256596188,-0.2810331348948846,3.606931686401367,0.3704707622528076,3.977402448654175,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,51200,1000,0,0.1992736185198786,-0.306536698483897,6.120810031890869,0.5168523788452148,6.637662410736084,3.0,2.0,0.2
gpflow_sgpr,False,100,,3.0,2.0,0.2,102400,1000,0,0.19851385440158448,-0.30843396968588455,5.427239179611206,0.7557644844055176,6.183003664016724,3.0,2.0,0.2
