module,optimize,make_model_option,predict_option,n_train,n_test,t,SMSE,MSLL,time_make_model,time_predict,time_total
gpml_basic,True,,,100,1000,0,0.41167125436932284,0.03999714362054266,0.8268015384674072,0.12480020523071289,0.9516017436981201
gpml_basic,True,,,200,1000,0,0.33370544184596157,-0.04757316488226885,0.9984018802642822,0.10920000076293945,1.1076018810272217
gpml_basic,True,,,400,1000,0,0.27697252249733056,-0.14140096045073244,3.2916059494018555,0.15600013732910156,3.447606086730957
gpml_basic,True,,,800,1000,0,0.22300877732985458,-0.24771755367949977,10.53001856803894,0.2652003765106201,10.79521894454956
gpml_basic,True,,,1600,1000,0,0.23337768117633795,-0.227038183827201,55.91049814224243,0.7488014698028564,56.65929961204529
gpml_basic,True,,,3200,1000,0,0.2107169124890552,-0.2792188737102632,293.592515707016,2.792404890060425,296.3849205970764
gpml_basic,True,,,6400,1000,0,0.19917600900264007,-0.30697442646068845,1619.9848453998566,14.66402554512024,1634.6488709449768
gpml_basic,True,,,100,1000,1,0.5066144443152738,0.1445232223719588,0.6396012306213379,0.10920023918151855,0.7488014698028564
gpml_basic,True,,,200,1000,1,0.30125899898756586,-0.09369351847654533,1.0452017784118652,0.12480020523071289,1.1700019836425781
gpml_basic,True,,,400,1000,1,0.26218961748129666,-0.16366110103494708,3.0888054370880127,0.15600037574768066,3.2448058128356934
gpml_basic,True,,,800,1000,1,0.24384995083882105,-0.20675721003202904,11.840420722961426,0.28080058097839355,12.12122130393982
gpml_basic,True,,,1600,1000,1,0.22858519789573573,-0.2402279391764388,53.492494106292725,0.7488012313842773,54.241295337677
gpml_basic,True,,,3200,1000,1,0.20055711142057378,-0.3007035404657531,297.4925227165222,2.88600492477417,300.3785276412964
gpml_basic,True,,,6400,1000,1,0.2139111886947111,-0.27130362941616376,1627.8004591464996,14.773226022720337,1642.57368516922
gpml_basic,True,,,100,1000,2,0.4515974492764752,0.10419546997108924,0.5928008556365967,0.09360027313232422,0.6864011287689209
gpml_basic,True,,,200,1000,2,0.39109665762716644,0.0024562914115384524,1.0920019149780273,0.10920023918151855,1.201202154159546
gpml_basic,True,,,400,1000,2,0.27733826923074045,-0.15374940072640356,3.354005813598633,0.15600037574768066,3.5100061893463135
gpml_basic,True,,,800,1000,2,0.2176210039511809,-0.2623270724750858,12.46442174911499,0.28080058097839355,12.745222330093384
gpml_basic,True,,,1600,1000,2,0.21277690119891354,-0.27499046021437973,64.78691387176514,0.7176012992858887,65.50451517105103
gpml_basic,True,,,3200,1000,2,0.22410539229576154,-0.24773529075231812,300.11332726478577,2.8548049926757812,302.96813225746155
gpml_basic,True,,,6400,1000,2,0.2096552301131631,-0.2803249672059304,1637.456876039505,14.74202585220337,1652.1989018917084
gpml_basic,True,,,100,1000,3,0.4348870137828576,0.08567526889009885,0.7488014698028564,0.07800006866455078,0.8268015384674072
gpml_basic,True,,,200,1000,3,0.34426031124097267,-0.04000791020015288,1.1388020515441895,0.10920000076293945,1.248002052307129
gpml_basic,True,,,400,1000,3,0.2785645367614036,-0.13940903720070158,3.8844070434570312,0.15600013732910156,4.040407180786133
gpml_basic,True,,,800,1000,3,0.23693925317316547,-0.22148548188005057,13.728024005889893,0.28080058097839355,14.008824586868286
gpml_basic,True,,,1600,1000,3,0.23167477717379067,-0.23154513531081622,64.44371318817139,0.7488014698028564,65.19251465797424
gpml_basic,True,,,3200,1000,3,0.22038781830107823,-0.2559217052461524,298.30372405052185,2.839204788208008,301.14292883872986
gpml_basic,True,,,6400,1000,3,0.20431283084807966,-0.2939351796678978,1629.828462600708,14.960426330566406,1644.7888889312744
gpml_basic,True,,,100,1000,4,0.4085591620167002,0.044943444599775076,0.7644014358520508,0.07800006866455078,0.8424015045166016
gpml_basic,True,,,200,1000,4,0.3537734834629406,-0.023564192073310473,1.3104023933410645,0.09360027313232422,1.4040026664733887
gpml_basic,True,,,400,1000,4,0.28830058847648904,-0.1255652952943918,3.2448055744171143,0.14040040969848633,3.3852059841156006
gpml_basic,True,,,800,1000,4,0.24845964287587718,-0.20102648958969782,12.105621099472046,0.28080058097839355,12.38642168045044
gpml_basic,True,,,1600,1000,4,0.21566054195509893,-0.2690604231182422,54.84969615936279,0.7488014698028564,55.59849762916565
gpml_basic,True,,,3200,1000,4,0.21189614295567463,-0.27460914743358855,299.2085256576538,2.8236048221588135,302.0321304798126
gpml_basic,True,,,6400,1000,4,0.20977064753614522,-0.28115209660896967,1629.7504625320435,14.788825988769531,1644.539288520813
gpml_basic,True,,,100,1000,5,0.4514898220640512,0.07989532851688404,0.6240010261535645,0.09360027313232422,0.7176012992858887
gpml_basic,True,,,200,1000,5,0.28773201283929506,-0.11924030712090526,1.029601812362671,0.10920023918151855,1.1388020515441895
gpml_basic,True,,,400,1000,5,0.26188725765871934,-0.17587665839168876,3.5100059509277344,0.15600037574768066,3.666006326675415
gpml_basic,True,,,800,1000,5,0.24856081910489763,-0.19896429644280195,12.994822978973389,0.28080058097839355,13.275623559951782
gpml_basic,True,,,1600,1000,5,0.20776619816828099,-0.28343263910218175,64.80251383781433,0.7488012313842773,65.55131506919861
gpml_basic,True,,,3200,1000,5,0.21871071863299188,-0.2592121733203109,300.7841284275055,2.839204788208008,303.6233332157135
gpml_basic,True,,,6400,1000,5,0.19697668893346598,-0.31180371199850127,1630.3588635921478,14.851226091384888,1645.2100896835327
gpml_basic,True,,,100,1000,6,0.43455458960069565,0.07678053905377161,0.6240012645721436,0.09360003471374512,0.7176012992858887
