module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpflow_exact,False,,,3.0,2.0,0.2,100,1000,0,0.20779279475141751,-0.2865713884731693,0.1152200698852539,0.19697332382202148,0.3121933937072754,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,200,1000,0,0.20960153554565478,-0.28070464723201644,0.10771894454956055,0.14121580123901367,0.24893474578857422,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,400,1000,0,0.2070355831208792,-0.2873334480087922,0.12030410766601562,0.1639575958251953,0.28426170349121094,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,800,1000,0,0.2032172409425988,-0.29661610693520063,0.13242030143737793,0.22011208534240723,0.35253238677978516,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,1600,1000,0,0.1866189632626342,-0.3380494443707153,0.14824461936950684,0.48401546478271484,0.6322600841522217,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,3200,1000,0,0.19699679292246078,-0.3121561802838302,0.1608881950378418,1.7185611724853516,1.8794493675231934,3.0,2.0,0.2
gpflow_exact,False,,,3.0,2.0,0.2,6400,1000,0,0.18068436394835755,-0.3529383272823697,0.17536258697509766,8.65628457069397,8.831647157669067,3.0,2.0,0.2
