module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
sklgp,False,,,3.0,2.0,0.2,100,1000,0,0.1967702141451803,-0.3124080924855652,0.00500035285949707,0.004000186920166016,0.009000539779663086,3.0,2.0,0.2
sklgp,False,,,3.0,2.0,0.2,200,1000,0,0.19820635879636497,-0.3092449416025274,0.006000518798828125,0.012000560760498047,0.018001079559326172,3.0,2.0,0.2
sklgp,False,,,3.0,2.0,0.2,400,1000,0,0.21410257232973762,-0.26999138249851307,0.021001338958740234,0.03000164031982422,0.05100297927856445,3.0,2.0,0.2
sklgp,False,,,3.0,2.0,0.2,800,1000,0,0.18574144236109458,-0.3399267144927079,0.07500433921813965,0.21001195907592773,0.2850162982940674,3.0,2.0,0.2
sklgp,False,,,3.0,2.0,0.2,1600,1000,0,0.20656579673463774,-0.2883228946929214,0.4090235233306885,0.37002110481262207,0.7790446281433105,3.0,2.0,0.2
sklgp,False,,,3.0,2.0,0.2,3200,1000,0,0.20285764021647243,-0.29755175253940563,1.6120922565460205,1.8281044960021973,3.4401967525482178,3.0,2.0,0.2
