module,optimize,make_model_option,predict_option,n_train,n_test,t,SMSE,MSLL,time_make_model,time_predict,time_total
gpy_basic,False,,,100,1000,0,0.40663007300300963,0.03294640521403134,0.015599966049194336,0.0,0.015599966049194336
gpy_basic,False,,,200,1000,0,0.3329851262654646,-0.05887863236705267,0.015599966049194336,0.0,0.015599966049194336
gpy_basic,False,,,400,1000,0,0.2770315170949588,-0.14124825966429022,0.04679989814758301,0.031200170516967773,0.07800006866455078
gpy_basic,False,,,800,1000,0,0.22303005564485745,-0.2530251250164623,0.20280027389526367,0.171600341796875,0.37440061569213867
gpy_basic,False,,,1600,1000,0,0.23266492067063108,-0.23092535748881196,0.9516017436981201,0.12480020523071289,1.076401948928833
gpy_basic,False,,,3200,1000,0,0.21026855285833307,-0.2803115357874936,4.430408000946045,0.3120002746582031,4.742408275604248
gpy_basic,False,,,6400,1000,0,0.199163033122142,-0.306706870365294,22.604439735412598,0.8580014705657959,23.462441205978394
gpy_basic,False,,,100,1000,1,0.5050044286374668,0.14972559025126725,0.015599966049194336,0.0,0.015599966049194336
gpy_basic,False,,,200,1000,1,0.30804929994998315,-0.08459230819315552,0.031200170516967773,0.0,0.031200170516967773
gpy_basic,False,,,400,1000,1,0.26064968971573416,-0.17295633739625269,0.07800006866455078,0.031200170516967773,0.10920023918151855
gpy_basic,False,,,800,1000,1,0.24397682228894954,-0.20677476137656328,0.2184004783630371,0.04680013656616211,0.2652006149291992
gpy_basic,False,,,1600,1000,1,0.22802362337741477,-0.24169820483378765,0.9360015392303467,0.14040017127990723,1.076401710510254
gpy_basic,False,,,3200,1000,1,0.20052456284339196,-0.30191544848216506,4.430407762527466,0.32760047912597656,4.758008241653442
gpy_basic,False,,,6400,1000,1,0.21379167511502956,-0.2715570292000653,22.65123987197876,0.8736014366149902,23.52484130859375
gpy_basic,False,,,100,1000,2,0.4361524646899156,0.07089134938634112,0.031199932098388672,0.0,0.031199932098388672
gpy_basic,False,,,200,1000,2,0.38833788036223776,0.004293245420920747,0.015599966049194336,0.015599966049194336,0.031199932098388672
gpy_basic,False,,,400,1000,2,0.2658273486597599,-0.17688444567544206,0.031200170516967773,0.031199932098388672,0.062400102615356445
gpy_basic,False,,,800,1000,2,0.2177126636033452,-0.2599397945179991,0.2184004783630371,0.062400102615356445,0.28080058097839355
gpy_basic,False,,,1600,1000,2,0.212315082040904,-0.27581007904711313,0.9672017097473145,0.12480020523071289,1.0920019149780273
gpy_basic,False,,,3200,1000,2,0.22403676449623472,-0.24867011108463905,4.477207899093628,0.32760047912597656,4.8048083782196045
gpy_basic,False,,,6400,1000,2,0.209743272811147,-0.28003193840829965,23.36884093284607,0.8580014705657959,24.226842403411865
gpy_basic,False,,,100,1000,3,0.4124908138676584,0.036135035125163216,0.015599966049194336,0.0,0.015599966049194336
gpy_basic,False,,,200,1000,3,0.3404166383854515,-0.052199194204050045,0.015599966049194336,0.015600204467773438,0.031200170516967773
gpy_basic,False,,,400,1000,3,0.2781946726265404,-0.1404104056289094,0.04679989814758301,0.015600204467773438,0.062400102615356445
gpy_basic,False,,,800,1000,3,0.23842212935603632,-0.21918892026357822,0.2652003765106201,0.062400102615356445,0.32760047912597656
gpy_basic,False,,,1600,1000,3,0.23123007963143505,-0.23388365719522827,0.9516017436981201,0.12480020523071289,1.076401948928833
gpy_basic,False,,,3200,1000,3,0.22030364299885963,-0.2557515342543722,4.414807558059692,0.32760071754455566,4.742408275604248
gpy_basic,False,,,6400,1000,3,0.20424984564878007,-0.29408065859088706,23.197240829467773,0.8580014705657959,24.05524230003357
gpy_basic,False,,,100,1000,4,0.4019286604065596,0.03699984849030094,0.0,0.015599966049194336,0.015599966049194336
gpy_basic,False,,,200,1000,4,0.35409149646092586,-0.03025796325026144,0.015599966049194336,0.015600204467773438,0.031200170516967773
gpy_basic,False,,,400,1000,4,0.2886298001864533,-0.1244874963223832,0.04679989814758301,0.031200170516967773,0.07800006866455078
gpy_basic,False,,,800,1000,4,0.248508059633129,-0.20122354753110033,0.20280051231384277,0.062400102615356445,0.2652006149291992
gpy_basic,False,,,1600,1000,4,0.21569606540274486,-0.2690898279305763,0.9360015392303467,0.12480020523071289,1.0608017444610596
gpy_basic,False,,,3200,1000,4,0.21159954380582963,-0.2752840739666144,4.446007966995239,0.3120005130767822,4.7580084800720215
gpy_basic,False,,,6400,1000,4,0.20969140120237895,-0.2813331529879635,22.65123987197876,0.8736014366149902,23.52484130859375
gpy_basic,False,,,100,1000,5,0.4514475267018091,0.07940951240001977,0.015600204467773438,0.0,0.015600204467773438
gpy_basic,False,,,200,1000,5,0.3023420851018949,-0.10282001081358767,0.031200170516967773,0.0,0.031200170516967773
gpy_basic,False,,,400,1000,5,0.26201662332631565,-0.17532660003927497,0.5304009914398193,0.031199932098388672,0.561600923538208
gpy_basic,False,,,800,1000,5,0.24747840602060772,-0.20127673080620437,0.23400044441223145,0.07800006866455078,0.3120005130767822
gpy_basic,False,,,1600,1000,5,0.20781041745522405,-0.2832656896931751,0.9672017097473145,0.14040040969848633,1.1076021194458008
gpy_basic,False,,,3200,1000,5,0.2187102762246742,-0.25957129351158637,4.430408000946045,0.32760047912597656,4.7580084800720215
gpy_basic,False,,,6400,1000,5,0.19683223348789997,-0.31182911367847255,22.88524031639099,0.8736014366149902,23.75884175300598
gpy_basic,False,,,100,1000,6,0.4053060216538991,0.04171312626303971,0.04680013656616211,0.0,0.04680013656616211
gpy_basic,False,,,200,1000,6,0.3281296849785442,-0.06091025097464792,0.015599966049194336,0.015599966049194336,0.031199932098388672
